age,age_category
0,Child
1,Child
2,Child
3,Child
4,Child
5,Child
6,Child
7,Child
8,Child
9,Child
10,Child
11,Child
12,Child
13,Child
14,Child
15,Child
16,Child
17,Child
18,Young Adult
19,Young Adult
20,Young Adult
21,Young Adult
22,Young Adult
23,Young Adult
24,Young Adult
25,Young Adult
26,Young Adult
27,Young Adult
28,Young Adult
29,Young Adult
30,Adult
31,Adult
32,Adult
33,Adult
34,Adult
35,Adult
36,Adult
37,Adult
38,Adult
39,Adult
40,Adult
41,Adult
42,Adult
43,Adult
44,Adult
45,Adult
46,Adult
47,Adult
48,Adult
49,Adult
50,Middle Age
51,Middle Age
52,Middle Age
53,Middle Age
54,Middle Age
55,Middle Age
56,Middle Age
57,Middle Age
58,Middle Age
59,Middle Age
60,Middle Age
61,Middle Age
62,Middle Age
63,Middle Age
64,Middle Age
65,Senior
66,Senior
67,Senior
68,Senior
69,Senior
70,Senior
71,Senior
72,Senior
73,Senior
74,Senior
75,Senior
76,Senior
77,Senior
78,Senior
79,Senior
80,Senior
81,Senior
82,Senior
83,Senior
84,Senior
85,Senior
86,Senior
87,Senior
88,Senior
89,Senior
90,Senior
91,Senior
92,Senior
93,Senior
94,Senior
95,Senior
96,Senior
97,Senior
98,Senior
99,Senior
